Date Type,Date,Location,Total Doses Administered Daily,Dose,Total Doses Administered Cumulative,People Receiving 1 or More Doses Cumulative,7-Day Avg Daily Count Dose 1,7-Day Avg Total Doses Daily,Total Doses Administered Daily Change,7-Day Avg Total Doses Administered Daily Change,Daily Count of People Fully Vaccinated,People Fully Vaccinated Cumulative,7-Day Avg Daily Count of People Fully Vaccinated,Daily Count People Receiving a Booster Dose,People Receiving a Booster Dose Cumulative,7-Day Average Daily Count Booster
Admin,2020-12-14,US,4552,4393,33488,28545,14273,16744,N/A,N/A,118,5645,2822,0,0,0
Admin,2020-12-15,US,49670,47343,83158,75888,25296,27719,N/A,N/A,259,5904,1968,0,0,0
Admin,2020-12-16,US,159730,154347,242888,230235,57559,60722,N/A,N/A,465,6369,1592,0,0,0
Admin,2020-12-17,US,272365,265257,515253,495492,99098,103050,N/A,N/A,738,7107,1421,0,0,0
Admin,2020-12-18,US,416044,407512,931297,903004,150501,155216,N/A,N/A,1195,8302,1383,0,0,0
Admin,2020-12-19,US,181759,177840,1113056,1080844,154406,159008,N/A,N/A,1044,9346,1335,0,0,0
Admin,2020-12-20,US,105154,103225,1218210,1184069,165702,169896,N/A,N/A,697,10043,645,0,0,0
Admin,2020-12-21,US,381572,375054,1599782,1559123,218654,223756,N/A,N/A,1475,11518,839,0,0,0
Admin,2020-12-22,US,447328,438853,2047110,1997976,274584,280564,N/A,N/A,2854,14372,1209,0,0,0
Admin,2020-12-23,US,574664,562236,2621774,2560212,332854,339840,N/A,N/A,2902,17274,1557,0,0,0
Admin,2020-12-24,US,195803,190802,2817577,2751014,322217,328903,N/A,N/A,1087,18361,1607,0,0,0
Admin,2020-12-25,US,12642,12490,2830219,2763504,265786,271274,N/A,N/A,101,18462,1451,0,0,0
Admin,2020-12-26,US,141841,137904,2972060,2901408,260081,265572,N/A,N/A,963,19425,1439,0,0,0
Admin,2020-12-27,US,96641,93368,3068701,2994776,258672,264355,N/A,N/A,716,20141,1442,0,0,0
Admin,2020-12-28,US,590493,576182,3659194,3570958,287405,294201,N/A,N/A,4085,24226,1815,0,0,0
Admin,2020-12-29,US,721432,702448,4380626,4273406,325061,333359,N/A,N/A,5203,29429,2151,0,0,0
Admin,2020-12-30,US,842619,822861,5223245,5096267,362294,371638,N/A,N/A,7705,37134,2837,0,0,0
Admin,2020-12-31,US,419883,410031,5643128,5506298,393612,403650,N/A,N/A,3107,40241,3125,0,0,0
Admin,2021-01-01,US,100395,91109,5743523,5597407,404843,416186,N/A,N/A,6615,46856,4056,0,0,0
Admin,2021-01-02,US,264172,255339,6007695,5852746,421620,433662,N/A,N/A,2821,49677,4321,0,0,0
Admin,2021-01-03,US,138728,131740,6146423,5984486,427101,439674,N/A,N/A,2432,52109,4566,0,0,0
Admin,2021-01-04,US,656729,597585,6803152,6582071,430159,449136,N/A,N/A,45654,97763,10505,0,0,0
Admin,2021-01-05,US,830763,728992,7633915,7311063,433951,464755,N/A,N/A,88223,185986,22365,0,0,0
Admin,2021-01-06,US,1020520,830267,8654435,8141330,435009,490170,N/A,N/A,171953,357939,45829,0,0,0
Admin,2021-01-07,US,1169313,865901,9823748,9007231,500133,597231,N/A,N/A,280282,638221,85425,0,0,0
Admin,2021-01-08,US,1235603,846984,11059351,9854215,608115,759404,N/A,N/A,362692,1000913,136293,0,0,0
Admin,2021-01-09,US,508632,370251,11567983,10224466,624531,794326,N/A,N/A,128318,1129231,154222,0,0,0
Admin,2021-01-10,US,250917,176240,11818900,10400706,630889,810353,N/A,N/A,69407,1198638,163789,0,0,0
Admin,2021-01-11,US,1069855,723182,12888755,11123888,648831,869371,N/A,N/A,322089,1520727,203280,0,0,0
Admin,2021-01-12,US,1257463,916193,14146218,12040081,675574,930329,N/A,N/A,313966,1834693,235529,0,0,0
Admin,2021-01-13,US,1322781,1028913,15468999,13068994,703952,973509,N/A,N/A,270021,2104714,249539,0,0,0
Admin,2021-01-14,US,1315451,1156129,16784450,14225123,745413,994386,N/A,N/A,135498,2240212,228855,0,0,0
Admin,2021-01-15,US,1255811,1115852,18040261,15340975,783823,997272,N/A,N/A,120311,2360523,194230,0,0,0
Admin,2021-01-16,US,648743,565753,18689004,15906728,811752,1017288,N/A,N/A,71791,2432314,186154,0,0,0
Admin,2021-01-17,US,304744,255411,18993748,16162139,823062,1024978,N/A,N/A,41995,2474309,182238,0,0,0
Admin,2021-01-18,US,883951,637925,19877699,16800064,810882,998420,N/A,N/A,226221,2700530,168543,0,0,0
Admin,2021-01-19,US,1345415,964706,21223114,17764770,817813,1010985,N/A,N/A,354061,3054591,174271,0,0,0
Admin,2021-01-20,US,1601189,1153007,22824303,18917777,835540,1050757,N/A,N/A,418221,3472812,195442,0,0,0
Admin,2021-01-21,US,1629417,1328864,24453720,20246641,860217,1095610,N/A,N/A,273146,3745958,215106,0,0,0
Admin,2021-01-22,US,1626347,1391681,26080067,21638322,899621,1148543,N/A,N/A,208525,3954483,227708,0,0,0
Admin,2021-01-23,US,906306,742257,26986373,22380579,924836,1185338,N/A,N/A,149507,4103990,238810,0,0,0
Admin,2021-01-24,US,394712,299433,27381085,22680012,931125,1198191,N/A,N/A,87474,4191464,245307,0,0,0
Admin,2021-01-25,US,1371870,859175,28752955,23539187,962732,1267893,N/A,N/A,485686,4677150,282374,0,0,0
Admin,2021-01-26,US,1660156,1051682,30413111,24590869,975157,1312856,N/A,N/A,577724,5254874,314326,0,0,0
Admin,2021-01-27,US,1929734,1248922,32342845,25839791,988859,1359791,N/A,N/A,643344,5898218,346486,0,0,0
Admin,2021-01-28,US,1959741,1368345,34302586,27208136,994499,1406980,N/A,N/A,552881,6451099,386448,0,0,0
Admin,2021-01-29,US,1912311,1371001,36214897,28579137,991545,1447832,N/A,N/A,491848,6942947,426923,0,0,0
Admin,2021-01-30,US,1017242,757565,37232139,29336702,993732,1463680,N/A,N/A,241242,7184189,440028,0,0,0
Admin,2021-01-31,US,458407,321069,37690546,29657771,996823,1472780,N/A,N/A,125984,7310173,445529,0,0,0
Admin,2021-02-01,US,1380597,767534,39071143,30425305,983731,1474026,N/A,N/A,568444,7878617,457352,0,0,0
Admin,2021-02-02,US,1694157,961268,40765300,31386573,970815,1478884,N/A,N/A,694214,8572831,473993,0,0,0
Admin,2021-02-03,US,2136151,1258249,42901451,32644822,972147,1508372,N/A,N/A,828848,9401679,500494,0,0,0
Admin,2021-02-04,US,2343590,1386902,45245041,34031724,974798,1563207,N/A,N/A,907851,10309530,551204,0,0,0
Admin,2021-02-05,US,2352841,1353255,47597882,35384979,972263,1626140,N/A,N/A,954400,11263930,617283,0,0,0
Admin,2021-02-06,US,1298783,850582,48896665,36235561,985551,1666360,N/A,N/A,419659,11683589,642771,0,0,0
Admin,2021-02-07,US,443582,276436,49340247,36511997,979175,1664243,N/A,N/A,155771,11839360,647026,0,0,0
Admin,2021-02-08,US,1576916,835730,50917163,37347727,988917,1692288,N/A,N/A,701550,12540910,666041,0,0,0
Admin,2021-02-09,US,1971926,1035986,52889089,38383713,999591,1731969,N/A,N/A,889058,13429968,693876,0,0,0
Admin,2021-02-10,US,2301601,1227259,55190690,39610972,995164,1755605,N/A,N/A,1029451,14459419,722534,0,0,0
Admin,2021-02-11,US,2403917,1275105,57594607,40886077,979193,1764223,N/A,N/A,1084009,15543428,747699,0,0,0
Admin,2021-02-12,US,2582296,1377154,60176903,42263231,982607,1797003,N/A,N/A,1153499,16696927,776142,0,0,0
Admin,2021-02-13,US,1471804,867873,61648707,43131104,985078,1821720,N/A,N/A,569220,17266147,797508,0,0,0
Admin,2021-02-14,US,591429,345879,62240136,43476983,994998,1842841,N/A,N/A,228271,17494418,807865,0,0,0
Admin,2021-02-15,US,1176570,609187,63416706,44086170,962635,1785649,N/A,N/A,533644,18028062,783878,0,0,0
Admin,2021-02-16,US,1619964,796068,65036670,44882238,928361,1735368,N/A,N/A,783653,18811715,768821,0,0,0
Admin,2021-02-17,US,1963297,932590,66999967,45814828,886265,1687039,N/A,N/A,986538,19798253,762690,0,0,0
Admin,2021-02-18,US,1855300,833071,68855267,46647899,823117,1608665,N/A,N/A,970388,20768641,746459,0,0,0
Admin,2021-02-19,US,1965421,823284,70820688,47471183,743993,1520540,N/A,N/A,1090858,21859499,737510,0,0,0
Admin,2021-02-20,US,1304600,596465,72125288,48067648,705221,1496654,N/A,N/A,677175,22536674,752932,0,0,0
Admin,2021-02-21,US,594569,254168,72719857,48321816,692119,1497103,N/A,N/A,321240,22857914,766213,0,0,0
Admin,2021-02-22,US,1460034,616600,74179891,48938416,693178,1537597,N/A,N/A,798431,23656345,804040,0,0,0
Admin,2021-02-23,US,1934881,865569,76114772,49803985,703107,1582586,N/A,N/A,1020823,24677168,837921,0,0,0
Admin,2021-02-24,US,2524635,1244339,78639407,51048324,747642,1662777,N/A,N/A,1227725,25904893,872377,0,0,0
Admin,2021-02-25,US,2935143,1536105,81574550,52584429,848076,1817040,N/A,N/A,1334220,27239113,924353,0,0,0
Admin,2021-02-26,US,3111160,1671934,84685710,54256363,969311,1980717,N/A,N/A,1374060,28613173,964810,0,0,0
Admin,2021-02-27,US,1993167,1139967,86678877,55396330,1046955,2079084,N/A,N/A,813966,29427139,984352,0,0,0
Admin,2021-02-28,US,854228,534275,87533105,55930605,1086970,2116178,N/A,N/A,293874,29721013,980442,0,0,0
Admin,2021-03-01,US,2044663,1195155,89577768,57125760,1169621,2199696,N/A,N/A,789786,30510799,979207,0,0,0
Admin,2021-03-02,US,2460980,1462192,92038748,58587952,1254852,2274853,N/A,N/A,954905,31465704,969790,0,0,0
Admin,2021-03-03,US,2899862,1740590,94938610,60328542,1325745,2328457,N/A,N/A,1117382,32583086,954027,0,0,0
Admin,2021-03-04,US,3200763,1955264,98139373,62283806,1385625,2366403,N/A,N/A,1238020,33821106,940284,0,0,0
